question,choice_a,choice_b,choice_c,choice_d,correct_answer,explanation,hint,topic,room,tags,difficulty
The concept of a geocentric Universe was first proposed during the time of the ancient Greeks. This model ____.,was abandoned during the time of the Roman Empire and would never be widely held again,"was held to be true by thinkers throughout the Middle Ages, up until the Renaissance",was rediscovered by the Polish astronomer Copernicus and has been the accepted model of the Universe ever since,has been proven by NASA space photos,"was held to be true by thinkers throughout the Middle Ages, up until the Renaissance","The keyed answer is: was held to be true by thinkers throughout the Middle Ages, up until the Renaissance.","Think heliocentric model, Big Bang evidence, expansion, or the age of the universe.",Chapter 1 - The Earth in Context,Cosmos and Big Bang,"chapter 1, earth in context, cosmos, big bang, universe",standard
"In the heliocentric model of the Universe, ____.",Earth orbits around the Sun,the Sun orbits around Earth,Earth is a stationary planet,"Mercury and Venus orbit around the Sun, but all other planets orbit about Earth",Earth orbits around the Sun,The keyed answer is: Earth orbits around the Sun.,"Think heliocentric model, Big Bang evidence, expansion, or the age of the universe.",Chapter 1 - The Earth in Context,Cosmos and Big Bang,"chapter 1, earth in context, cosmos, big bang, universe",standard
"In our current understanding of the Big Bang, ____.",Earth is much older than the rest of the Universe,the Universe is considerably older than Earth,Earth and the Universe formed at about the same time,there is no way of knowing how old the Universe might be,the Universe is considerably older than Earth,The keyed answer is: the Universe is considerably older than Earth.,"Think heliocentric model, Big Bang evidence, expansion, or the age of the universe.",Chapter 1 - The Earth in Context,Cosmos and Big Bang,"chapter 1, earth in context, cosmos, big bang, universe",standard
"As the Universe has evolved, ____.",hydrogen has been lost through fusion to form helium within stars,hydrogen concentration has increased through the fission of helium atoms,hydrogen concentration has increased through the fusion of helium atoms,the number of hydrogen atoms has likely remained Constant,hydrogen has been lost through fusion to form helium within stars,The keyed answer is: hydrogen has been lost through fusion to form helium within stars.,"Think heliocentric model, Big Bang evidence, expansion, or the age of the universe.",Chapter 1 - The Earth in Context,Cosmos and Big Bang,"chapter 1, earth in context, cosmos, big bang, universe",standard
"From choices below, the best estimate of the age of the Universe is ____ old.",5 million,5 billion,15 billion,100 billion,15 billion,The keyed answer is: 15 billion.,"Think heliocentric model, Big Bang evidence, expansion, or the age of the universe.",Chapter 1 - The Earth in Context,Cosmos and Big Bang,"chapter 1, earth in context, cosmos, big bang, universe",standard
The Big Bang theory states that ____.,all stars will end their lives explosively as supernovas,Earth formed through a series of violent collisions,meteors were responsible for the extinction of the dinosaurs,all matter in the Universe was once confined to a single point,all matter in the Universe was once confined to a single point,The keyed answer is: all matter in the Universe was once confined to a single point.,"Think heliocentric model, Big Bang evidence, expansion, or the age of the universe.",Chapter 1 - The Earth in Context,Cosmos and Big Bang,"chapter 1, earth in context, cosmos, big bang, universe",standard
Strong evidence that the Universe is expanding comes from the fact that the light emitted from distant galaxies appears to be ____.,red shifted,blue shifted,green shifted,none of the above,red shifted,The keyed answer is: red shifted.,"Think heliocentric model, Big Bang evidence, expansion, or the age of the universe.",Chapter 1 - The Earth in Context,Cosmos and Big Bang,"chapter 1, earth in context, cosmos, big bang, universe",standard
Red shifts and blue shifts noted in the radiation spectra of celestial objects are analogous to the ____effect observed in pitch as a train passes a stationary observer.,Schwarzchild,Heidegger,Doppler,Doppleganger,Doppler,The keyed answer is: Doppler.,"Think heliocentric model, Big Bang evidence, expansion, or the age of the universe.",Chapter 1 - The Earth in Context,Cosmos and Big Bang,"chapter 1, earth in context, cosmos, big bang, universe",standard
"Since the initiation of the Big Bang, the temperature of the Universe has ____.",increased,decreased,stayed about the same,,decreased,The keyed answer is: decreased.,"Think heliocentric model, Big Bang evidence, expansion, or the age of the universe.",Chapter 1 - The Earth in Context,Cosmos and Big Bang,"chapter 1, earth in context, cosmos, big bang, universe",standard
"The most abundant elements found in Earth's rocks (such as oxygen, silicon, and iron) were formed by ____.",fission reactions within stars,fusion reactions within stars,direct precipitation from sea water,,fusion reactions within stars,The keyed answer is: fusion reactions within stars.,"Think stellar fusion, heavy-element formation, or solar wind.",Chapter 1 - The Earth in Context,"Stars, Elements, and Solar System Birth","chapter 1, earth in context, stars, elements, solar system",standard
Atoms that are heavier than iron can be produced only by ____.,fission reactions within stars,fusion reactions within stars,explosion of supernovas,the Big Bang,explosion of supernovas,The keyed answer is: explosion of supernovas.,"Think stellar fusion, heavy-element formation, or solar wind.",Chapter 1 - The Earth in Context,"Stars, Elements, and Solar System Birth","chapter 1, earth in context, stars, elements, solar system",standard
By far the most common elements in the Universe and in our solar system are ____.,nitrogen and oxygen,iron and manganese,hydrogen and helium,hydrogen and oxygen,hydrogen and helium,The keyed answer is: hydrogen and helium.,"Think stellar fusion, heavy-element formation, or solar wind.",Chapter 1 - The Earth in Context,"Stars, Elements, and Solar System Birth","chapter 1, earth in context, stars, elements, solar system",standard
Which of the following bodies is the smallest?,planets,stars,protoplanets,planetesimals,planetesimals,The keyed answer is: planetesimals.,"Think planet types, Kepler, orbital shape, or the Moon.",Chapter 1 - The Earth in Context,Planets and Moon,"chapter 1, earth in context, planets, moon, orbits",standard
"The larger a planet or moon is, the more likely it is to ____.",lack an atmosphere,resemble a cube,have a spherical shape,have liquid oceans at the surface,have a spherical shape,The keyed answer is: have a spherical shape.,"Think planet types, Kepler, orbital shape, or the Moon.",Chapter 1 - The Earth in Context,Planets and Moon,"chapter 1, earth in context, planets, moon, orbits",standard
"Aside from Earth, the terrestrial planets are ____.","Mars, Mercury, and Venus","Mars, Venus, and Jupiter","Jupiter, Saturn, Uranus, and Neptune",Mars and Saturn,"Mars, Mercury, and Venus","The keyed answer is: Mars, Mercury, and Venus.","Think planet types, Kepler, orbital shape, or the Moon.",Chapter 1 - The Earth in Context,Planets and Moon,"chapter 1, earth in context, planets, moon, orbits",standard
"The gas giant, or Jovian, planets are ____.","Mars, Mercury, and Venus","Mars, Venus, and Jupiter","Jupiter, Saturn, Uranus, and Neptune",Mars and Saturn,"Jupiter, Saturn, Uranus, and Neptune","The keyed answer is: Jupiter, Saturn, Uranus, and Neptune.","Think planet types, Kepler, orbital shape, or the Moon.",Chapter 1 - The Earth in Context,Planets and Moon,"chapter 1, earth in context, planets, moon, orbits",standard
"As first found by Kepler, the shape of planetary orbits is most accurately described as a ____.",circle,oval,ellipse,figure eight,ellipse,The keyed answer is: ellipse.,"Think planet types, Kepler, orbital shape, or the Moon.",Chapter 1 - The Earth in Context,Planets and Moon,"chapter 1, earth in context, planets, moon, orbits",standard
"In agreement with the Big Bang theory, our Universe is ____.",expanding,contracting,static (unchanging),,expanding,The keyed answer is: expanding.,"Think heliocentric model, Big Bang evidence, expansion, or the age of the universe.",Chapter 1 - The Earth in Context,Cosmos and Big Bang,"chapter 1, earth in context, cosmos, big bang, universe",standard
The very first stars in the history of our Universe would have differed from our Sun in that ____.,they did not contain hydrogen and helium,they were composed of only hydrogen and helium,they would have all been smaller than our Sun,"even at a mass, density, and temperature comparable to our Sun, hydrogen atoms would not have fused to make helium",they were composed of only hydrogen and helium,The keyed answer is: they were composed of only hydrogen and helium.,"Think stellar fusion, heavy-element formation, or solar wind.",Chapter 1 - The Earth in Context,"Stars, Elements, and Solar System Birth","chapter 1, earth in context, stars, elements, solar system",standard
"The stream of charged particles given off by the Sun,which disallowed the accumulation of hydrogen and helium in terrestrial planet formation, is called ____.",the aurora borealis,solar wind,the Sun's corona.,the Van Allen belts,solar wind,The keyed answer is: solar wind.,"Think stellar fusion, heavy-element formation, or solar wind.",Chapter 1 - The Earth in Context,"Stars, Elements, and Solar System Birth","chapter 1, earth in context, stars, elements, solar system",standard
"Chemically, the Moon is quite similar to ____.",sea water,Earth's crust,Earth's mantle,Earth's core,Earth's mantle,The keyed answer is: Earth's mantle.,"Think planet types, Kepler, orbital shape, or the Moon.",Chapter 1 - The Earth in Context,Planets and Moon,"chapter 1, earth in context, planets, moon, orbits",standard
The only planet with an orbital plane that is not approximately parallel to that of the other planets is ____.,Mars,Mercury,Uranus,Pluto,Pluto,The keyed answer is: Pluto.,"Think planet types, Kepler, orbital shape, or the Moon.",Chapter 1 - The Earth in Context,Planets and Moon,"chapter 1, earth in context, planets, moon, orbits",standard
Differentiation of the core from the mantle early in Earth's history was possible because the planet was ____ at the time.,very cold,very hot,very small,the only planet in the Solar System,very hot,The keyed answer is: very hot.,"Think density, convection, magnetic field, or aurorae.",Chapter 1 - The Earth in Context,"Early Earth, Core, and Magnetic Shield","chapter 1, earth in context, magnetic field, core, convection",standard
The metal alloy that makes up the core of Earth is ____ as compared to the rocky mantle.,less dense,denser,very similar in chemistry and density,distinct in chemistry but of very similar density,denser,The keyed answer is: denser.,"Think density, convection, magnetic field, or aurorae.",Chapter 1 - The Earth in Context,"Early Earth, Core, and Magnetic Shield","chapter 1, earth in context, magnetic field, core, convection",standard
Earth's surface is protected from solar wind and cosmic radiation by ____.,Earth's gravitational field,Earth's magnetic field,"a large, metallic shield launched into orbit by NASA in the 1960s",a powerful stream of ions emitted by the Sun,Earth's magnetic field,The keyed answer is: Earth's magnetic field.,"Think density, convection, magnetic field, or aurorae.",Chapter 1 - The Earth in Context,"Early Earth, Core, and Magnetic Shield","chapter 1, earth in context, magnetic field, core, convection",standard
The shape of Earth's magnetic field is approximately that of a ____.,monopole,dipole (such as that produced by a bar magnet),"torus, a donut-shaped ring parallel to Earth's Equator",,dipole (such as that produced by a bar magnet),The keyed answer is: dipole (such as that produced by a bar magnet).,"Think density, convection, magnetic field, or aurorae.",Chapter 1 - The Earth in Context,"Early Earth, Core, and Magnetic Shield","chapter 1, earth in context, magnetic field, core, convection",standard
"Heat transfer that occurs through the movement of a fluid, driven by temperature differences among various points within the fluid, is termed ____.",radiation,conduction,convection,adhesion,convection,The keyed answer is: convection.,"Think density, convection, magnetic field, or aurorae.",Chapter 1 - The Earth in Context,"Early Earth, Core, and Magnetic Shield","chapter 1, earth in context, magnetic field, core, convection",standard
"Presently, Earth's atmosphere is dominated by which two gases?",hydrogen and oxygen,carbon dioxide and methane,nitrogen and oxygen,nitrous oxide and sulfur dioxide,nitrogen and oxygen,The keyed answer is: nitrogen and oxygen.,"Think common elements, silicates, volatiles, granite, or natural glass.",Chapter 1 - The Earth in Context,"Earth Composition, Materials, and Igneous Rocks","chapter 1, earth in context, composition, materials, igneous",standard
"In the whole Earth, the four most common elements are oxygen, silicon, magnesium, and ____.",copper,lead,iron,zinc,iron,The keyed answer is: iron.,"Think common elements, silicates, volatiles, granite, or natural glass.",Chapter 1 - The Earth in Context,"Earth Composition, Materials, and Igneous Rocks","chapter 1, earth in context, composition, materials, igneous",standard
"Hydrocarbons, such as petroleum and natural gas, are classified as ____.",minerals,fluid rocks,organic materials,alloys,organic materials,The keyed answer is: organic materials.,"Think common elements, silicates, volatiles, granite, or natural glass.",Chapter 1 - The Earth in Context,"Earth Composition, Materials, and Igneous Rocks","chapter 1, earth in context, composition, materials, igneous",standard
The most common minerals within Earth are ____.,silicates,carbonates,oxides,hydroxides,silicates,The keyed answer is: silicates.,"Think common elements, silicates, volatiles, granite, or natural glass.",Chapter 1 - The Earth in Context,"Earth Composition, Materials, and Igneous Rocks","chapter 1, earth in context, composition, materials, igneous",standard
As compared to ultramafic rocks mafic rocks have a ____.,greater proportion of silica,lesser proportion of silica,greater proportion of iron and magnesium atoms,,greater proportion of silica,The keyed answer is: greater proportion of silica.,"Think common elements, silicates, volatiles, granite, or natural glass.",Chapter 1 - The Earth in Context,"Earth Composition, Materials, and Igneous Rocks","chapter 1, earth in context, composition, materials, igneous",standard
"When molten material freezes so quickly that the atoms do not have sufficient time to produce an orderly arrangement, the resulting material is termed a ____.",mineral,volatile,natural glass,metamelt,natural glass,The keyed answer is: natural glass.,"Think common elements, silicates, volatiles, granite, or natural glass.",Chapter 1 - The Earth in Context,"Earth Composition, Materials, and Igneous Rocks","chapter 1, earth in context, composition, materials, igneous",standard
A silica-rich igneous rock which has coarse crystals and which makes up much of the continental crust is ____.,peridotite,granite,gabbro,basalt,granite,The keyed answer is: granite.,"Think common elements, silicates, volatiles, granite, or natural glass.",Chapter 1 - The Earth in Context,"Earth Composition, Materials, and Igneous Rocks","chapter 1, earth in context, composition, materials, igneous",standard
The velocities of seismic waves traveling from earthquake foci ____.,are uniform throughout all layers of Earth,"monotonically decrease with depth, at a consistent rate of deceleration","monotonically increase with depth, at a consistent rate of acceleration","generally increase with depth, occasionally making abrupt jumps termed seismic-velocity discontinuities","generally increase with depth, occasionally making abrupt jumps termed seismic-velocity discontinuities","The keyed answer is: generally increase with depth, occasionally making abrupt jumps termed seismic-velocity discontinuities.","Think seismic waves, the Moho, depth, temperature, and pressure.",Chapter 1 - The Earth in Context,Earth Interior and Seismic Structure,"chapter 1, earth in context, earth interior, seismic, moho",standard
Earth's geothermal gradient is the rate of temperature change incurred by ____.,increasing altitude in the atmosphere,increasing depth at ocean trenches,traversing from either pole towards the equator,traversing down within Earth's interior,traversing down within Earth's interior,The keyed answer is: traversing down within Earth's interior.,"Think seismic waves, the Moho, depth, temperature, and pressure.",Chapter 1 - The Earth in Context,Earth Interior and Seismic Structure,"chapter 1, earth in context, earth interior, seismic, moho",standard
The boundary between the crust and mantle is marked by a seismic-velocity discontinuity called ____.,the Edsel,the Moho,Lyell's surface,the crantle,the Moho,The keyed answer is: the Moho.,"Think seismic waves, the Moho, depth, temperature, and pressure.",Chapter 1 - The Earth in Context,Earth Interior and Seismic Structure,"chapter 1, earth in context, earth interior, seismic, moho",standard
"Ordered from top to bottom, ophiolite sequences consist of ____.","clay and microfossils, basalt, and gabbro","organic-rich soil, diverse sedimentary rocks, and granite","basalt, clay and microfossils, and gabbro","basalt, granite, and gabbro","clay and microfossils, basalt, and gabbro","The keyed answer is: clay and microfossils, basalt, and gabbro.","Think ophiolites, oceanic crust, lithosphere, asthenosphere, and rigidity.",Chapter 1 - The Earth in Context,"Crust, Ophiolites, and Lithosphere","chapter 1, earth in context, crust, lithosphere, oceanic crust",standard
Ophiolite sequences are important to geologists because they preserve ____.,continental crust,oceanic crust,deep mantle material,asthenosphere,oceanic crust,The keyed answer is: oceanic crust.,"Think ophiolites, oceanic crust, lithosphere, asthenosphere, and rigidity.",Chapter 1 - The Earth in Context,"Crust, Ophiolites, and Lithosphere","chapter 1, earth in context, crust, lithosphere, oceanic crust",standard
Earth's magnetic field is generated by ____.,the flow of the liquid inner core,the flow of the liquid outer core,the convective flow of the mantle,magnetic minerals within the crust,the flow of the liquid outer core,The keyed answer is: the flow of the liquid outer core.,"Think density, convection, magnetic field, or aurorae.",Chapter 1 - The Earth in Context,"Early Earth, Core, and Magnetic Shield","chapter 1, earth in context, magnetic field, core, convection",standard
The densest layer of Earth is the ____.,crust,mantle,outer core,inner core,inner core,The keyed answer is: inner core.,"Think seismic waves, the Moho, depth, temperature, and pressure.",Chapter 1 - The Earth in Context,Earth Interior and Seismic Structure,"chapter 1, earth in context, earth interior, seismic, moho",standard
The distinction between the crust and mantle is primarily on the basis of a difference in ____; the distinction between the lithosphere and asthenosphere is primarily on the basis of a difference in ____.,chemistry (mineral content); degree of physical rigidity,color; chemistry (mineral content),degree of physical rigidity; chemistry (mineral content),chemistry (mineral content); chemistry as well.,chemistry (mineral content); degree of physical rigidity,The keyed answer is: chemistry (mineral content); degree of physical rigidity.,"Think ophiolites, oceanic crust, lithosphere, asthenosphere, and rigidity.",Chapter 1 - The Earth in Context,"Crust, Ophiolites, and Lithosphere","chapter 1, earth in context, crust, lithosphere, oceanic crust",standard
The lithosphere is composed of the ____.,crust only,"crust, mantle, and outer core",top 100 m of sediments and sedimentary rocks,crust and the uppermost part of the mantle,crust and the uppermost part of the mantle,The keyed answer is: crust and the uppermost part of the mantle.,"Think ophiolites, oceanic crust, lithosphere, asthenosphere, and rigidity.",Chapter 1 - The Earth in Context,"Crust, Ophiolites, and Lithosphere","chapter 1, earth in context, crust, lithosphere, oceanic crust",standard
Rock loses its rigidity when exposed to ____.,the surface of Earth,temperatures greater than 140C,"temperatures greater than 1,250C",temperatures less than 0C,"temperatures greater than 1,250C","The keyed answer is: temperatures greater than 1,250C.","Think ophiolites, oceanic crust, lithosphere, asthenosphere, and rigidity.",Chapter 1 - The Earth in Context,"Crust, Ophiolites, and Lithosphere","chapter 1, earth in context, crust, lithosphere, oceanic crust",standard
"Moving into interior of Earth, temperature ____.",and pressure both increase,and pressure both decrease,"increases, but pressure stays nearly the same","remains remarkably constant, but pressure increases",and pressure both increase,The keyed answer is: and pressure both increase.,"Think seismic waves, the Moho, depth, temperature, and pressure.",Chapter 1 - The Earth in Context,Earth Interior and Seismic Structure,"chapter 1, earth in context, earth interior, seismic, moho",standard
The thickness of Earth's crust varies from ____.,100 to 500 m,1 to 10 km,5 to 500 km,7 to 70 km,7 to 70 km,The keyed answer is: 7 to 70 km.,"Think seismic waves, the Moho, depth, temperature, and pressure.",Chapter 1 - The Earth in Context,Earth Interior and Seismic Structure,"chapter 1, earth in context, earth interior, seismic, moho",standard
"Earth's magnetic field is deflected from an ideal dipole into a teardrop shape with a long, tapered end pointed ____.",toward the Sun,away from the Sun,at a 90 angle from the Earth-Sun axis,,away from the Sun,The keyed answer is: away from the Sun.,"Think density, convection, magnetic field, or aurorae.",Chapter 1 - The Earth in Context,"Early Earth, Core, and Magnetic Shield","chapter 1, earth in context, magnetic field, core, convection",standard
Aurorae are most likely to be observed ____.,at high northern latitudes only,at high southern latitudes only,near the equator,at high latitudes in either hemisphere,at high latitudes in either hemisphere,The keyed answer is: at high latitudes in either hemisphere.,"Think density, convection, magnetic field, or aurorae.",Chapter 1 - The Earth in Context,"Early Earth, Core, and Magnetic Shield","chapter 1, earth in context, magnetic field, core, convection",standard
The two most common elements in the crust of Earth are ____.,iron and calcium,magnesium and manganese,oxygen and hydrogen,oxygen and silicon,oxygen and silicon,The keyed answer is: oxygen and silicon.,"Think common elements, silicates, volatiles, granite, or natural glass.",Chapter 1 - The Earth in Context,"Earth Composition, Materials, and Igneous Rocks","chapter 1, earth in context, composition, materials, igneous",standard
The metallic content of Earth's core is ____.,likely similar to what has been found in metallic meteorites,partly liquid and partly solid,an iron alloy (mostly iron with a few other elements mixed in),all of the above,all of the above,The keyed answer is: all of the above.,"Think common elements, silicates, volatiles, granite, or natural glass.",Chapter 1 - The Earth in Context,"Earth Composition, Materials, and Igneous Rocks","chapter 1, earth in context, composition, materials, igneous",standard
Substances that can be transformed to a gas at relatively low temperatures are termed ____.,glasses,melts,volatiles,mineraloids,volatiles,The keyed answer is: volatiles.,"Think common elements, silicates, volatiles, granite, or natural glass.",Chapter 1 - The Earth in Context,"Earth Composition, Materials, and Igneous Rocks","chapter 1, earth in context, composition, materials, igneous",standard
"As compared to continental crust, the rocks that make up oceanic crust are ____.",denser,made of minerals that contain more silica,thicker,all of the above,denser,The keyed answer is: denser.,"Think ophiolites, oceanic crust, lithosphere, asthenosphere, and rigidity.",Chapter 1 - The Earth in Context,"Crust, Ophiolites, and Lithosphere","chapter 1, earth in context, crust, lithosphere, oceanic crust",standard
The Moho ____.,lies at uniform depth everywhere it is found in Earth,is found deeper underneath continents than under oceans,is found deeper underneath oceans than under continents,is found well below the crust/mantle boundary,is found deeper underneath continents than under oceans,The keyed answer is: is found deeper underneath continents than under oceans.,"Think ophiolites, oceanic crust, lithosphere, asthenosphere, and rigidity.",Chapter 1 - The Earth in Context,"Crust, Ophiolites, and Lithosphere","chapter 1, earth in context, crust, lithosphere, oceanic crust",standard
The lithosphere lies directly above the ____.,transition zone,crust,asthenosphere,lower mantle,asthenosphere,The keyed answer is: asthenosphere.,"Think ophiolites, oceanic crust, lithosphere, asthenosphere, and rigidity.",Chapter 1 - The Earth in Context,"Crust, Ophiolites, and Lithosphere","chapter 1, earth in context, crust, lithosphere, oceanic crust",standard
"As compared to the asthenosphere, the lithosphere is ____.",cooler and more able to flow,hotter and more able to flow,cooler and less able to flow,hotter and less able to flow,cooler and less able to flow,The keyed answer is: cooler and less able to flow.,"Think ophiolites, oceanic crust, lithosphere, asthenosphere, and rigidity.",Chapter 1 - The Earth in Context,"Crust, Ophiolites, and Lithosphere","chapter 1, earth in context, crust, lithosphere, oceanic crust",standard
